Psys,Ffuel,Porosity,Dparticle,Alpha,Rflat,Tbed,Decay,Fstruct
289010.0,0.9645,0.39575,0.002668,31.83,1.722,864.0999999999999,0.009909,1.76025
246890.0,0.6355,0.37825,0.0043879999999999,34.89,1.022,1623.3000000000002,0.008523,0.96575
198335.0,0.74575,0.424375,0.0033979999999999,23.655,0.961,849.1500000000001,0.0068955,0.467875
451981.25,0.6584375,0.44296875,0.0043225,22.10625,0.52625,514.5625,0.007230625,0.4742187499999999
202381.25,0.8778125,0.48609375,0.0046725,44.56875,0.4287499999999999,781.0625,0.004719375,1.20484375
142906.25,0.5346875,0.38953125,0.0024175,24.05625,0.45375,612.0625,0.0052706249999999,1.12828125
207305.0,0.68325,0.389375,0.00457,39.94500000000001,1.481,1496.55,0.0095205,1.909875
428045.00000000006,0.69175,0.400375,0.0024419999999999,34.785,1.351,1252.15,0.0054045,1.062875
437210.0,0.9585,0.45475,0.004636,29.91,0.45,1378.9,0.0080889999999999,0.61575
113900.0,0.961,0.2825,0.002288,17.94,1.228,1655.8,0.008698,1.9685
289595.0,0.74725,0.299375,0.003578,17.265,1.391,494.25,0.0061745,0.938625
395285.0,0.51675,0.276875,0.002334,33.285,0.899,1556.35,0.0077005,1.479375
200090.0,0.6214999999999999,0.42475,0.001452,35.31,0.342,1360.6999999999998,0.005891,0.86075
140956.25,0.8303125,0.36515625,0.0025475,36.20625,0.65375,439.8125,0.008245625,1.54828125
358625.0,0.89625,0.294375,0.001862,36.465,1.673,903.75,0.0080925,0.455625
457295.0,0.93675,0.438125,0.003698,19.575,0.445,981.75,0.0086175,0.306875
222125.0,0.5922499999999999,0.269375,0.002946,29.145000000000003,1.641,1525.15,0.0073225,0.830125
146855.0,0.51125,0.312375,0.00211,16.275,0.109,1540.75,0.0090795,1.118875
464705.0,0.55175,0.408375,0.001906,30.525,0.057,633.35,0.0066505,1.008625
201650.0,0.7595000000000001,0.43875,0.004828,36.69,1.146,565.1,0.007781,1.14775
447935.0,0.92625,0.496375,0.00225,31.965000000000003,0.181,689.25,0.0089815,1.477625
428825.00000000006,0.78925,0.289375,0.0048059999999999,40.365,0.225,1087.05,0.0052785,0.375125
353165.0,0.89125,0.481625,0.002798,26.955,1.859,1375.65,0.0060065,1.6351250000000002
424925.00000000006,0.56325,0.321125,0.004714,43.035,0.195,1443.25,0.0061535,1.017375
342635.0,0.72375,0.256875,0.004442,21.735,0.539,1480.9500000000005,0.0089885,0.504625
476015.00000000006,0.80925,0.433875,0.0034779999999999,32.685,1.101,732.1500000000001,0.0096325,1.099625
408155.0,0.5922499999999999,0.392625,0.001634,41.505,1.291,446.15,0.0099615,1.570375
367010.0,0.9655,0.30475,0.003028,19.35,0.31,414.3,0.005093,0.94825
456856.25,0.5934375000000001,0.35015625,0.0011625,28.06875,0.04875,889.9375,0.009741875,0.8964062500000001
474650.0,0.6885,0.34425,0.003436,43.41,0.01,778.3,0.006255,1.72175
114485.0,0.78625,0.330375,0.004054,15.165,1.733,582.65,0.0090025,0.954375
440915.0,0.61725,0.374125,0.00463,34.364999999999995,0.707,1522.55,0.0068745,1.230875
447545.0,0.99275,0.391875,0.003666,20.745,0.333,1527.75,0.0091705,1.951875
390215.0,0.56525,0.272375,0.004058,16.965,1.367,1158.5499999999995,0.0031855,1.255375
246256.25,0.8209375,0.25984375,0.0037275,42.28125,1.47875,1604.9375,0.004194375,0.43484375
183515.0,0.61675,0.270625,0.00173,20.055,1.5710000000000002,1444.5500000000002,0.0078685,0.481875
115655.0,0.87425,0.276875,0.001802,35.145,1.089,812.75,0.0096395,0.301625
442475.0,0.56325,0.493125,0.001314,26.445,0.779,1530.35,0.0080994999999999,0.397875
483230.0,0.9315,0.38225,0.001628,23.91,0.314,1176.1,0.006591,0.44425
477575.00000000006,0.97525,0.472875,0.002042,20.115,1.013,1018.15,0.0078335,1.033125
442085.0,0.52725,0.428625,0.00127,31.605000000000004,1.295,1655.15,0.0070564999999999,0.618375
399575.0,0.68025,0.441375,0.003054,29.925,1.657,976.55,0.0060625,1.650875
223295.0,0.95625,0.340375,0.004946,30.675,0.835,1183.25,0.0034095,1.304375
410105.0,0.96425,0.310875,0.001602,15.945,1.715,460.45,0.0041655,0.684875
260735.0,0.72575,0.405625,0.00129,25.815,1.721,882.95,0.0056495,1.481125
